record_id,source,primary_doi,doi_candidate_dash,doi_candidate_dot,title_first40,matched,matched_by,matched_doi,matched_warehouse_record_id
API_OpenAlex_10_4103_mgmj_mgmj_59_23,OpenAlex,10.4103/mgmj-mgmj-59-23,10.4103/mgmj-mgmj-59-23,10.4103/mgmj.mgmj.59.23,Nanobubbles: an emerging science in nano,True,normalized_title,10.4103/mgmj.mgmj_59_23,OpenAlex_W4389050391
API_OpenAlex_10_3390_ijms17091440,OpenAlex,10.3390/ijms17091440,10.3390/ijms17091440,10.3390/ijms17091440,Surface Modified Multifunctional and Sti,True,doi,10.3390/ijms17091440,OpenAlex_W2508643196
API_OpenAlex_10_1117_12_2214812,OpenAlex,10.1117/12-2214812,10.1117/12-2214812,10.1117/12.2214812,Development and evaluation of a novel VE,True,doi,10.1117/12.2214812,OpenAlex_W2335064276
API_OpenAlex_10_22159_ijap_2022v14i4_44388,OpenAlex,10.22159/ijap-2022v14i4-44388,10.22159/ijap-2022v14i4-44388,10.22159/ijap.2022v14i4.44388,FORMULATION AND OPTIMIZATION OF CERITINI,True,doi,10.22159/ijap.2022v14i4.44388,OpenAlex_W4285734748
API_PubMed_10_1021_acsptsci_5c00363,PubMed,10.1021/acsptsci-5c00363,10.1021/acsptsci-5c00363,10.1021/acsptsci.5c00363,Plant-Derived Exosome-Coated Niosome Oxy,True,doi,10.1021/acsptsci.5c00363,OpenAlex_W4412517929
API_PubMed_10_1021_acs_molpharmaceut_5c01256,PubMed,10.1021/acs-molpharmaceut-5c01256,10.1021/acs-molpharmaceut-5c01256,10.1021/acs.molpharmaceut.5c01256,Boosting Oral Chemotherapy Efficacy and ,True,doi,10.1021/acs.molpharmaceut.5c01256,API_PubMed_10_1021_acs_molpharmaceut_5c01256
API_OpenAlex_10_1088_0957_4484_23_9_095102,OpenAlex,10.1088/0957-4484-23-9-095102,10.1088/0957-4484-23-9-095102,10.1088/0957.4484.23.9.095102,Fibrin nanoconstructs: a novel processin,True,normalized_title,10.1088/0957-4484/23/9/095102,API_OpenAlex_10_1088_0957_4484_23_9_095102
API_PubMed_10_1007_s13346_022_01185_8,PubMed,10.1007/s13346-022-01185-8,10.1007/s13346-022-01185-8,10.1007/s13346.022.01185.8,Exploring chitosan-shelled nanobubbles t,True,normalized_title,10.1126/science.2470152,PubMed_35672651
API_OpenAlex_10_3390_pharmaceutics10040242,OpenAlex,10.3390/pharmaceutics10040242,10.3390/pharmaceutics10040242,10.3390/pharmaceutics10040242,Diatoms Green Nanotechnology for Biosili,True,doi,10.3390/pharmaceutics10040242,API_OpenAlex_10_3390_pharmaceutics10040242
API_OpenAlex_10_1186_s12951_023_01776_8,OpenAlex,10.1186/s12951-023-01776-8,10.1186/s12951-023-01776-8,10.1186/s12951.023.01776.8,Ultrasound targeted microbubble destruct,True,doi,10.1186/s12951-023-01776-8,PubMed_36717899
API_PubMed_10_3389_fmed_2023_1136304,PubMed,10.3389/fmed-2023-1136304,10.3389/fmed-2023-1136304,10.3389/fmed.2023.1136304,Functional evaluation of constructed pse,True,doi,10.3389/fmed.2023.1136304,OpenAlex_W4386958612
API_OpenAlex_10_7150_thno_43402,OpenAlex,10.7150/thno-43402,10.7150/thno-43402,10.7150/thno.43402,Multifunctional PVCL nanogels with redox,True,doi,10.7150/thno.43402,OpenAlex_W3015491945
API_OpenAlex_10_1021_acs_molpharmaceut_3c00983,OpenAlex,10.1021/acs-molpharmaceut-3c00983,10.1021/acs-molpharmaceut-3c00983,10.1021/acs.molpharmaceut.3c00983,Gemcitabine-Phospholipid Complex Loaded ,True,doi,10.1021/acs.molpharmaceut.3c00983,API_OpenAlex_10_1021_acs_molpharmaceut_3c00983
API_PubMed_10_1016_j_ijpharm_2026_126860,PubMed,10.1016/j-ijpharm-2026-126860,10.1016/j-ijpharm-2026-126860,10.1016/j.ijpharm.2026.126860,Endogenous and exogenous stimuli-respons,True,doi,10.1016/j.ijpharm.2026.126860,API_PubMed_10_1016_j_ijpharm_2026_126860
API_EuropePMC_10_1016_j_ijpharm_2009_07_010,EuropePMC,10.1016/j-ijpharm-2009-07-010,10.1016/j-ijpharm-2009-07-010,10.1016/j.ijpharm.2009.07.010,Preparation and characterization of dext,True,doi,10.1016/j.ijpharm.2009.07.010,PubMed_19616610
API_OpenAlex_10_1155_2014_689391,OpenAlex,10.1155/2014-689391,10.1155/2014-689391,10.1155/2014.689391,Formulation Optimization of Erythromycin,True,normalized_title,10.1155/2014/689391,API_OpenAlex_10_1155_2014_689391
API_OpenAlex_10_1039_d0tb00012d,OpenAlex,10.1039/d0tb00012d,10.1039/d0tb00012d,10.1039/d0tb00012d,Controlled drug release from polyelectro,True,doi,10.1039/d0tb00012d,API_OpenAlex_10_1039_d0tb00012d
API_OpenAlex_10_1038_s41598_020_65773_9,OpenAlex,10.1038/s41598-020-65773-9,10.1038/s41598-020-65773-9,10.1038/s41598.020.65773.9,Preparation of high drug-loading celastr,True,doi,10.1038/s41598-020-65773-9,API_OpenAlex_10_1038_s41598_020_65773_9
API_PubMed_10_1039_d1ra04983f,PubMed,10.1039/d1ra04983f,10.1039/d1ra04983f,10.1039/d1ra04983f,Utilizing polymer-conjugate albumin-base,True,normalized_title,10.1007/s00240-010-0302-5,PubMed_35494740
API_PubMed_10_1016_j_envres_2024_118980,PubMed,10.1016/j-envres-2024-118980,10.1016/j-envres-2024-118980,10.1016/j.envres.2024.118980,Advancing nanobubble technology for carb,True,doi,10.1016/j.envres.2024.118980,PubMed_38657850
API_PubMed_10_2174_0115680096414252251125053406,PubMed,10.2174/0115680096414252251125053406,10.2174/0115680096414252251125053406,10.2174/0115680096414252251125053406,Design of Experiments-Based Formulation ,True,doi,10.2174/0115680096414252251125053406,API_PubMed_10_2174_0115680096414252251125053406
API_OpenAlex_10_1121_1_5101512,OpenAlex,10.1121/1-5101512,10.1121/1-5101512,10.1121/1.5101512,"Light, sound, nanobubbles: New approach ",True,doi,10.1121/1.5101512,OpenAlex_W2941196796
